,city,year,party,BL,Anzahl Bewerber,darunter Frauen,Prozent Frauen
34,Alheim,2021,FDP,HE,44,13.0,0.29545454545454547
35,Alheim,2021,GRÜNE,HE,19,8.0,0.42105263157894735
36,Alheim,2021,SPD,HE,43,9.0,0.20930232558139536
37,Allendorf (Eder),2011,CDU,HE,16,5.0,0.3125
38,Allendorf (Eder),2011,SPD,HE,15,2.0,0.13333333333333333
39,Allendorf (Eder),2016,CDU,HE,22,3.0,0.13636363636363635
40,Allendorf (Eder),2016,FDP,HE,14,3.0,0.21428571428571427
41,Allendorf (Eder),2016,GRÜNE,HE,10,6.0,0.6
42,Allendorf (Eder),2016,SPD,HE,31,8.0,0.25806451612903225
43,Allendorf (Eder),2021,CDU,HE,31,8.0,0.25806451612903225
44,Allendorf (Eder),2021,FDP,HE,19,8.0,0.42105263157894735
45,Allendorf (Eder),2021,GRÜNE,HE,16,9.0,0.5625
46,Allendorf (Eder),2021,SPD,HE,26,8.0,0.3076923076923077
47,Allendorf (Lumda),2011,CDU,HE,31,8.0,0.25806451612903225
48,Allendorf (Lumda),2011,FDP,HE,12,4.0,0.3333333333333333
49,Allendorf (Lumda),2011,GRÜNE,HE,20,10.0,0.5
50,Allendorf (Lumda),2011,SPD,HE,21,5.0,0.23809523809523808
51,Allendorf (Lumda),2016,CDU,HE,36,9.0,0.25
52,Allendorf (Lumda),2016,GRÜNE,HE,26,12.0,0.46153846153846156
53,Allendorf (Lumda),2016,SPD,HE,39,9.0,0.23076923076923078
54,Allendorf (Lumda),2021,CDU,HE,15,4.0,0.26666666666666666
55,Allendorf (Lumda),2021,FDP,HE,10,4.0,0.4
56,Allendorf (Lumda),2021,GRÜNE,HE,14,4.0,0.2857142857142857
57,Allendorf (Lumda),2021,SPD,HE,12,5.0,0.4166666666666667
58,Alsbach-Hähnlein,2011,CDU,HE,45,16.0,0.35555555555555557
59,Alsbach-Hähnlein,2011,FDP,HE,30,10.0,0.3333333333333333
60,Alsbach-Hähnlein,2011,GRÜNE,HE,18,8.0,0.4444444444444444
61,Alsbach-Hähnlein,2011,SPD,HE,26,9.0,0.34615384615384615
62,Alsbach-Hähnlein,2021,CDU,HE,38,14.0,0.3684210526315789
63,Alsbach-Hähnlein,2021,FDP,HE,17,8.0,0.47058823529411764
64,Alsbach-Hähnlein,2021,GRÜNE,HE,15,6.0,0.4
65,Alsbach-Hähnlein,2021,SPD,HE,36,12.0,0.3333333333333333
66,Alsfeld,2011,CDU,HE,80,24.0,0.3
67,Alsfeld,2011,FDP,HE,29,8.0,0.27586206896551724
68,Alsfeld,2011,GRÜNE,HE,56,28.0,0.5
69,Alsfeld,2011,SPD,HE,81,33.0,0.4074074074074074
70,Alsfeld,2016,CDU,HE,23,2.0,0.08695652173913043
71,Alsfeld,2016,SPD,HE,28,7.0,0.25
72,Altenstadt,2011,CDU,HE,40,10.0,0.25
73,Altenstadt,2011,GRÜNE,HE,17,6.0,0.35294117647058826
74,Altenstadt,2011,SPD,HE,39,13.0,0.3333333333333333
75,Altenstadt,2016,CDU,HE,22,5.0,0.22727272727272727
76,Altenstadt,2016,GRÜNE,HE,12,7.0,0.5833333333333334
77,Altenstadt,2016,SPD,HE,34,7.0,0.20588235294117646
78,Altenstadt,2021,CDU,HE,46,14.0,0.30434782608695654
79,Altenstadt,2021,FDP,HE,30,13.0,0.43333333333333335
80,Altenstadt,2021,SPD,HE,35,11.0,0.3142857142857143
81,Amöneburg,2011,CDU,HE,24,5.0,0.20833333333333334
82,Amöneburg,2011,FDP,HE,13,,
83,Amöneburg,2011,GRÜNE,HE,10,5.0,0.5
84,Amöneburg,2011,SPD,HE,25,5.0,0.2
85,Amöneburg,2016,CDU,HE,25,3.0,0.12
86,Amöneburg,2016,SPD,HE,26,7.0,0.2692307692307692
87,Amöneburg,2021,CDU,HE,24,6.0,0.25
88,Amöneburg,2021,SPD,HE,20,3.0,0.15
89,Angelburg,2011,CDU,HE,30,5.0,0.16666666666666666
90,Angelburg,2011,FDP,HE,8,,
91,Angelburg,2011,GRÜNE,HE,18,9.0,0.5
92,Angelburg,2011,SPD,HE,39,12.0,0.3076923076923077
93,Angelburg,2016,CDU,HE,20,5.0,0.25
94,Angelburg,2016,GRÜNE,HE,10,3.0,0.3
95,Angelburg,2016,SPD,HE,32,8.0,0.25
96,Angelburg,2021,CDU,HE,20,5.0,0.25
97,Angelburg,2021,SPD,HE,26,9.0,0.34615384615384615
98,Antrifttal,2011,CDU,HE,18,5.0,0.2777777777777778
99,Antrifttal,2011,SPD,HE,14,6.0,0.42857142857142855
100,Antrifttal,2016,CDU,HE,20,4.0,0.2
101,Antrifttal,2016,SPD,HE,15,6.0,0.4
102,Aßlar,2011,CDU,HE,10,,
103,Aßlar,2011,GRÜNE,HE,8,1.0,0.125
104,Aßlar,2011,SPD,HE,13,2.0,0.15384615384615385
105,Aßlar,2016,CDU,HE,34,9.0,0.2647058823529412
106,Aßlar,2016,SPD,HE,37,9.0,0.24324324324324326
107,Aßlar,2021,CDU,HE,23,7.0,0.30434782608695654
108,Aßlar,2021,GRÜNE,HE,12,4.0,0.3333333333333333
109,Aßlar,2021,SPD,HE,9,1.0,0.1111111111111111
110,Babenhausen,2011,CDU,HE,29,7.0,0.2413793103448276
111,Babenhausen,2011,FDP,HE,5,1.0,0.2
112,Babenhausen,2011,SPD,HE,30,11.0,0.36666666666666664
113,Babenhausen,2016,CDU,HE,25,7.0,0.28
114,Babenhausen,2016,FDP,HE,9,2.0,0.2222222222222222
115,Babenhausen,2016,SPD,HE,29,9.0,0.3103448275862069
116,Babenhausen,2021,CDU,HE,27,9.0,0.3333333333333333
117,Babenhausen,2021,FDP,HE,9,4.0,0.4444444444444444
118,Babenhausen,2021,SPD,HE,27,7.0,0.25925925925925924
119,Bad Arolsen,2011,CDU,HE,24,7.0,0.2916666666666667
120,Bad Arolsen,2011,GRÜNE,HE,16,7.0,0.4375
121,Bad Arolsen,2011,SPD,HE,30,3.0,0.1
122,Bad Arolsen,2016,CDU,HE,8,1.0,0.125
123,Bad Arolsen,2016,SPD,HE,17,5.0,0.29411764705882354
124,Bad Arolsen,2021,CDU,HE,45,12.0,0.26666666666666666
125,Bad Arolsen,2021,FDP,HE,14,3.0,0.21428571428571427
126,Bad Arolsen,2021,GRÜNE,HE,15,6.0,0.4
127,Bad Arolsen,2021,SPD,HE,39,11.0,0.28205128205128205
128,Bad Camberg,2011,CDU,HE,41,9.0,0.21951219512195122
129,Bad Camberg,2011,FDP,HE,21,9.0,0.42857142857142855
130,Bad Camberg,2011,SPD,HE,29,9.0,0.3103448275862069
131,Bad Camberg,2016,CDU,HE,15,2.0,0.13333333333333333
132,Bad Camberg,2016,SPD,HE,26,9.0,0.34615384615384615
133,Bad Camberg,2021,CDU,HE,37,9.0,0.24324324324324326
134,Bad Camberg,2021,FDP,HE,9,3.0,0.3333333333333333
135,Bad Camberg,2021,SPD,HE,17,6.0,0.35294117647058826
136,Bad Emstal,2011,CDU,HE,19,3.0,0.15789473684210525
137,Bad Emstal,2011,FDP,HE,12,3.0,0.25
138,Bad Emstal,2011,SPD,HE,34,10.0,0.29411764705882354
139,Bad Emstal,2016,CDU,HE,38,11.0,0.2894736842105263
140,Bad Emstal,2016,FDP,HE,13,1.0,0.07692307692307693
141,Bad Emstal,2016,SPD,HE,41,14.0,0.34146341463414637
142,Bad Emstal,2021,CDU,HE,17,8.0,0.47058823529411764
143,Bad Emstal,2021,SPD,HE,19,7.0,0.3684210526315789
144,Bad Endbach,2011,CDU,HE,14,1.0,0.07142857142857142
145,Bad Endbach,2011,SPD,HE,17,2.0,0.11764705882352941
146,Bad Endbach,2016,CDU,HE,26,7.0,0.2692307692307692
147,Bad Endbach,2016,SPD,HE,25,7.0,0.28
148,Bad Endbach,2021,CDU,HE,26,7.0,0.2692307692307692
149,Bad Endbach,2021,FDP,HE,21,6.0,0.2857142857142857
150,Bad Endbach,2021,GRÜNE,HE,8,2.0,0.25
151,Bad Endbach,2021,SPD,HE,29,7.0,0.2413793103448276
152,Bad Hersfeld,2011,CDU,HE,35,8.0,0.22857142857142856
153,Bad Hersfeld,2011,FDP,HE,16,8.0,0.5
154,Bad Hersfeld,2011,GRÜNE,HE,19,9.0,0.47368421052631576
155,Bad Hersfeld,2011,SPD,HE,48,19.0,0.3958333333333333
156,Bad Hersfeld,2016,CDU,HE,13,4.0,0.3076923076923077
157,Bad Hersfeld,2016,FDP,HE,11,2.0,0.18181818181818182
158,Bad Hersfeld,2016,SPD,HE,26,8.0,0.3076923076923077
159,Bad Hersfeld,2021,CDU,HE,42,12.0,0.2857142857142857
160,Bad Hersfeld,2021,GRÜNE,HE,12,5.0,0.4166666666666667
161,Bad Hersfeld,2021,SPD,HE,33,16.0,0.48484848484848486
162,Bad Homburg v. d. Höhe,2011,CDU,HE,25,5.0,0.2
163,Bad Homburg v. d. Höhe,2011,FDP,HE,8,2.0,0.25
164,Bad Homburg v. d. Höhe,2011,GRÜNE,HE,12,5.0,0.4166666666666667
165,Bad Homburg v. d. Höhe,2011,SPD,HE,20,8.0,0.4
166,Bad Homburg v. d. Höhe,2016,CDU,HE,27,9.0,0.3333333333333333
167,Bad Homburg v. d. Höhe,2016,FDP,HE,28,13.0,0.4642857142857143
168,Bad Homburg v. d. Höhe,2016,GRÜNE,HE,42,21.0,0.5
169,Bad Homburg v. d. Höhe,2016,SPD,HE,35,16.0,0.45714285714285713
170,Bad Homburg v. d. Höhe,2021,CDU,HE,42,17.0,0.40476190476190477
171,Bad Homburg v. d. Höhe,2021,FDP,HE,32,11.0,0.34375
172,Bad Homburg v. d. Höhe,2021,GRÜNE,HE,41,19.0,0.4634146341463415
173,Bad Homburg v. d. Höhe,2021,SPD,HE,36,20.0,0.5555555555555556
174,Bad Karlshafen,2011,CDU,HE,14,4.0,0.2857142857142857
175,Bad Karlshafen,2011,FDP,HE,15,5.0,0.3333333333333333
176,Bad Karlshafen,2011,GRÜNE,HE,11,4.0,0.36363636363636365
177,Bad Karlshafen,2011,SPD,HE,24,6.0,0.25
178,Bad Karlshafen,2016,CDU,HE,43,12.0,0.27906976744186046
179,Bad Karlshafen,2016,FDP,HE,15,4.0,0.26666666666666666
180,Bad Karlshafen,2016,GRÜNE,HE,15,3.0,0.2
181,Bad Karlshafen,2016,SPD,HE,29,12.0,0.41379310344827586
182,Bad Karlshafen,2021,CDU,HE,35,9.0,0.2571428571428571
183,Bad Karlshafen,2021,FDP,HE,16,6.0,0.375
184,Bad Karlshafen,2021,GRÜNE,HE,24,12.0,0.5
185,Bad Karlshafen,2021,SPD,HE,50,14.0,0.28
186,Bad König,2011,CDU,HE,50,17.0,0.34
187,Bad König,2011,FDP,HE,36,10.0,0.2777777777777778
188,Bad König,2011,SPD,HE,48,18.0,0.375
189,Bad König,2021,CDU,HE,17,6.0,0.35294117647058826
190,Bad König,2021,SPD,HE,28,10.0,0.35714285714285715
191,Bad Nauheim,2011,CDU,HE,31,10.0,0.3225806451612903
192,Bad Nauheim,2011,FDP,HE,8,2.0,0.25
193,Bad Nauheim,2011,GRÜNE,HE,11,,
194,Bad Nauheim,2011,SPD,HE,28,9.0,0.32142857142857145
195,Bad Nauheim,2016,CDU,HE,20,6.0,0.3
196,Bad Nauheim,2016,GRÜNE,HE,15,8.0,0.5333333333333333
197,Bad Nauheim,2016,SPD,HE,33,9.0,0.2727272727272727
198,Bad Nauheim,2021,AfD,HE,14,5.0,0.35714285714285715
199,Bad Nauheim,2021,CDU,HE,49,16.0,0.32653061224489793
200,Bad Nauheim,2021,FDP,HE,23,6.0,0.2608695652173913
201,Bad Nauheim,2021,GRÜNE,HE,36,15.0,0.4166666666666667
202,Bad Nauheim,2021,SPD,HE,56,25.0,0.44642857142857145
203,Bad Orb,2011,CDU,HE,21,5.0,0.23809523809523808
204,Bad Orb,2011,FDP,HE,1,,
205,Bad Orb,2011,FDP,HE,1,,
206,Bad Orb,2011,GRÜNE,HE,8,4.0,0.5
207,Bad Orb,2011,SPD,HE,19,9.0,0.47368421052631576
208,Bad Orb,2016,CDU,HE,40,8.0,0.2
209,Bad Orb,2016,FDP,HE,7,2.0,0.2857142857142857
210,Bad Orb,2016,SPD,HE,44,10.0,0.22727272727272727
211,Bad Orb,2021,CDU,HE,38,10.0,0.2631578947368421
212,Bad Orb,2021,SPD,HE,36,9.0,0.25
213,Bad Salzschlirf,2011,CDU,HE,16,2.0,0.125
214,Bad Salzschlirf,2016,CDU,HE,28,6.0,0.21428571428571427
215,Bad Salzschlirf,2016,GRÜNE,HE,13,6.0,0.46153846153846156
216,Bad Salzschlirf,2016,SPD,HE,28,9.0,0.32142857142857145
217,Bad Salzschlirf,2021,CDU,HE,36,9.0,0.25
218,Bad Salzschlirf,2021,FDP,HE,14,5.0,0.35714285714285715
219,Bad Salzschlirf,2021,SPD,HE,32,10.0,0.3125
220,Bad Schwalbach,2011,CDU,HE,28,11.0,0.39285714285714285
221,Bad Schwalbach,2011,FDP,HE,13,4.0,0.3076923076923077
222,Bad Schwalbach,2011,SPD,HE,28,13.0,0.4642857142857143
223,Bad Schwalbach,2016,CDU,HE,34,9.0,0.2647058823529412
224,Bad Schwalbach,2016,FDP,HE,10,4.0,0.4
225,Bad Schwalbach,2016,GRÜNE,HE,15,7.0,0.4666666666666667
226,Bad Schwalbach,2016,SPD,HE,35,8.0,0.22857142857142856
227,Bad Schwalbach,2021,AfD,HE,15,5.0,0.3333333333333333
228,Bad Schwalbach,2021,CDU,HE,33,8.0,0.24242424242424243
229,Bad Schwalbach,2021,GRÜNE,HE,27,12.0,0.4444444444444444
230,Bad Schwalbach,2021,SPD,HE,19,1.0,0.05263157894736842
231,Bad Soden am Taunus,2011,CDU,HE,33,11.0,0.3333333333333333
232,Bad Soden am Taunus,2011,FDP,HE,14,4.0,0.2857142857142857
233,Bad Soden am Taunus,2011,GRÜNE,HE,16,7.0,0.4375
234,Bad Soden am Taunus,2011,SPD,HE,34,10.0,0.29411764705882354
235,Bad Soden am Taunus,2016,CDU,HE,41,13.0,0.3170731707317073
236,Bad Soden am Taunus,2016,FDP,HE,18,5.0,0.2777777777777778
237,Bad Soden am Taunus,2016,GRÜNE,HE,17,8.0,0.47058823529411764
238,Bad Soden am Taunus,2016,SPD,HE,28,7.0,0.25
239,Bad Soden am Taunus,2021,CDU,HE,43,14.0,0.32558139534883723
240,Bad Soden am Taunus,2021,FDP,HE,18,6.0,0.3333333333333333
241,Bad Soden am Taunus,2021,GRÜNE,HE,27,13.0,0.48148148148148145
242,Bad Soden am Taunus,2021,SPD,HE,19,5.0,0.2631578947368421
243,Bad Soden-Salmünster,2011,CDU,HE,38,10.0,0.2631578947368421
244,Bad Soden-Salmünster,2011,FDP,HE,15,7.0,0.4666666666666667
245,Bad Soden-Salmünster,2011,GRÜNE,HE,18,6.0,0.3333333333333333
246,Bad Soden-Salmünster,2011,SPD,HE,33,11.0,0.3333333333333333
247,Bad Soden-Salmünster,2016,CDU,HE,33,7.0,0.21212121212121213
248,Bad Soden-Salmünster,2016,SPD,HE,25,6.0,0.24
249,Bad Soden-Salmünster,2021,CDU,HE,33,7.0,0.21212121212121213
250,Bad Soden-Salmünster,2021,GRÜNE,HE,9,5.0,0.5555555555555556
251,Bad Soden-Salmünster,2021,SPD,HE,24,8.0,0.3333333333333333
252,Bad Sooden-Allendorf,2016,CDU,HE,16,4.0,0.25
253,Bad Sooden-Allendorf,2016,GRÜNE,HE,14,8.0,0.5714285714285714
254,Bad Sooden-Allendorf,2016,SPD,HE,15,4.0,0.26666666666666666
255,Bad Sooden-Allendorf,2021,CDU,HE,17,4.0,0.23529411764705882
256,Bad Sooden-Allendorf,2021,SPD,HE,13,4.0,0.3076923076923077
257,Bad Vilbel,2011,CDU,HE,35,10.0,0.2857142857142857
258,Bad Vilbel,2011,FDP,HE,12,3.0,0.25
259,Bad Vilbel,2011,GRÜNE,HE,15,4.0,0.26666666666666666
260,Bad Vilbel,2011,SPD,HE,24,8.0,0.3333333333333333
261,Bad Vilbel,2016,CDU,HE,52,14.0,0.2692307692307692
262,Bad Vilbel,2016,FDP,HE,29,12.0,0.41379310344827586
263,Bad Vilbel,2016,GRÜNE,HE,24,7.0,0.2916666666666667
264,Bad Vilbel,2016,SPD,HE,48,17.0,0.3541666666666667
265,Bad Vilbel,2021,AfD,HE,11,4.0,0.36363636363636365
266,Bad Vilbel,2021,CDU,HE,43,12.0,0.27906976744186046
267,Bad Vilbel,2021,FDP,HE,15,6.0,0.4
268,Bad Vilbel,2021,GRÜNE,HE,19,9.0,0.47368421052631576
269,Bad Vilbel,2021,SPD,HE,41,14.0,0.34146341463414637
270,Bad Wildungen,2011,CDU,HE,19,6.0,0.3157894736842105
271,Bad Wildungen,2011,SPD,HE,26,7.0,0.2692307692307692
272,Bad Wildungen,2016,CDU,HE,31,6.0,0.1935483870967742
273,Bad Wildungen,2016,FDP,HE,15,4.0,0.26666666666666666
274,Bad Wildungen,2016,GRÜNE,HE,18,6.0,0.3333333333333333
275,Bad Wildungen,2016,SPD,HE,30,11.0,0.36666666666666664
276,Bad Wildungen,2021,AfD,HE,7,4.0,0.5714285714285714
277,Bad Wildungen,2021,CDU,HE,25,7.0,0.28
278,Bad Wildungen,2021,FDP,HE,14,3.0,0.21428571428571427
279,Bad Wildungen,2021,SPD,HE,22,8.0,0.36363636363636365
280,Bad Zwesten,2011,CDU,HE,19,3.0,0.15789473684210525
281,Bad Zwesten,2011,SPD,HE,36,8.0,0.2222222222222222
282,Bad Zwesten,2016,CDU,HE,23,5.0,0.21739130434782608
283,Bad Zwesten,2016,SPD,HE,26,5.0,0.19230769230769232
284,Bad Zwesten,2021,CDU,HE,33,8.0,0.24242424242424243
285,Bad Zwesten,2021,SPD,HE,17,7.0,0.4117647058823529
286,Battenberg (Eder),2011,CDU,HE,21,9.0,0.42857142857142855
287,Battenberg (Eder),2011,SPD,HE,24,5.0,0.20833333333333334
288,Battenberg (Eder),2016,CDU,HE,24,7.0,0.2916666666666667
289,Battenberg (Eder),2016,SPD,HE,23,6.0,0.2608695652173913
290,Baunatal,2011,CDU,HE,28,10.0,0.35714285714285715
291,Baunatal,2011,SPD,HE,24,7.0,0.2916666666666667
292,Baunatal,2016,CDU,HE,28,6.0,0.21428571428571427
293,Baunatal,2016,FDP,HE,14,6.0,0.42857142857142855
294,Baunatal,2016,SPD,HE,31,8.0,0.25806451612903225
295,Baunatal,2021,CDU,HE,21,7.0,0.3333333333333333
296,Baunatal,2021,SPD,HE,25,6.0,0.24
297,Bebra,2011,CDU,HE,20,3.0,0.15
298,Bebra,2011,SPD,HE,26,5.0,0.19230769230769232
299,Bebra,2016,CDU,HE,25,7.0,0.28
300,Bebra,2016,SPD,HE,24,4.0,0.16666666666666666
301,Bebra,2021,CDU,HE,5,2.0,0.4
302,Bebra,2021,SPD,HE,13,5.0,0.38461538461538464
303,Bensheim,2011,CDU,HE,33,6.0,0.18181818181818182
304,Bensheim,2011,FDP,HE,10,2.0,0.2
305,Bensheim,2011,GRÜNE,HE,17,8.0,0.47058823529411764
306,Bensheim,2011,SPD,HE,31,7.0,0.22580645161290322
307,Bensheim,2016,AfD,HE,17,7.0,0.4117647058823529
308,Bensheim,2016,CDU,HE,53,17.0,0.32075471698113206
309,Bensheim,2016,FDP,HE,34,11.0,0.3235294117647059
310,Bensheim,2016,GRÜNE,HE,30,12.0,0.4
311,Bensheim,2016,SPD,HE,50,22.0,0.44
312,Bensheim,2021,CDU,HE,26,7.0,0.2692307692307692
313,Bensheim,2021,SPD,HE,25,9.0,0.36
314,Berkatal,2016,CDU,HE,10,3.0,0.3
315,Berkatal,2016,SPD,HE,16,3.0,0.1875
316,Berkatal,2021,CDU,HE,37,10.0,0.2702702702702703
317,Berkatal,2021,FDP,HE,13,3.0,0.23076923076923078
318,Berkatal,2021,GRÜNE,HE,33,17.0,0.5151515151515151
319,Berkatal,2021,SPD,HE,35,14.0,0.4
320,Beselich,2011,CDU,HE,22,5.0,0.22727272727272727
321,Beselich,2011,SPD,HE,25,7.0,0.28
322,Beselich,2016,CDU,HE,39,4.0,0.10256410256410256
323,Beselich,2016,SPD,HE,36,13.0,0.3611111111111111
324,Beselich,2021,CDU,HE,30,11.0,0.36666666666666664
325,Beselich,2021,FDP,HE,11,3.0,0.2727272727272727
326,Beselich,2021,SPD,HE,15,6.0,0.4
327,Biblis,2011,CDU,HE,34,9.0,0.2647058823529412
328,Biblis,2011,FDP,HE,18,6.0,0.3333333333333333
329,Biblis,2011,GRÜNE,HE,15,5.0,0.3333333333333333
330,Biblis,2011,SPD,HE,33,12.0,0.36363636363636365
331,Biblis,2016,CDU,HE,26,8.0,0.3076923076923077
332,Biblis,2016,SPD,HE,22,7.0,0.3181818181818182
333,Biblis,2021,CDU,HE,24,4.0,0.16666666666666666
334,Biblis,2021,FDP,HE,15,4.0,0.26666666666666666
335,Biblis,2021,GRÜNE,HE,16,6.0,0.375
336,Biblis,2021,SPD,HE,28,8.0,0.2857142857142857
337,Bickenbach,2011,CDU,HE,18,3.0,0.16666666666666666
338,Bickenbach,2011,GRÜNE,HE,10,4.0,0.4
339,Bickenbach,2011,SPD,HE,28,5.0,0.17857142857142858
340,Bickenbach,2016,CDU,HE,40,13.0,0.325
341,Bickenbach,2016,FDP,HE,23,7.0,0.30434782608695654
342,Bickenbach,2016,GRÜNE,HE,16,8.0,0.5
343,Bickenbach,2016,SPD,HE,23,7.0,0.30434782608695654
344,Bickenbach,2021,CDU,HE,40,8.0,0.2
345,Bickenbach,2021,FDP,HE,16,6.0,0.375
346,Bickenbach,2021,GRÜNE,HE,20,9.0,0.45
347,Bickenbach,2021,SPD,HE,23,9.0,0.391304347826087
348,Biebergemünd,2011,CDU,HE,35,10.0,0.2857142857142857
349,Biebergemünd,2011,GRÜNE,HE,17,8.0,0.47058823529411764
350,Biebergemünd,2011,SPD,HE,36,11.0,0.3055555555555556
351,Biebergemünd,2016,CDU,HE,23,4.0,0.17391304347826086
352,Biebergemünd,2016,FDP,HE,9,2.0,0.2222222222222222
353,Biebergemünd,2016,GRÜNE,HE,9,4.0,0.4444444444444444
354,Biebergemünd,2016,SPD,HE,26,7.0,0.2692307692307692
355,Biebergemünd,2021,CDU,HE,20,4.0,0.2
356,Biebergemünd,2021,FDP,HE,11,5.0,0.45454545454545453
357,Biebergemünd,2021,SPD,HE,27,6.0,0.2222222222222222
358,Biebertal,2011,CDU,HE,19,4.0,0.21052631578947367
359,Biebertal,2011,SPD,HE,10,1.0,0.1
360,Biebertal,2016,CDU,HE,42,9.0,0.21428571428571427
361,Biebertal,2016,FDP,HE,14,5.0,0.35714285714285715
362,Biebertal,2016,GRÜNE,HE,20,10.0,0.5
363,Biebertal,2016,SPD,HE,39,19.0,0.48717948717948717
364,Biebertal,2021,CDU,HE,43,15.0,0.3488372093023256
365,Biebertal,2021,GRÜNE,HE,17,8.0,0.47058823529411764
366,Biebertal,2021,SPD,HE,41,11.0,0.2682926829268293
367,Biebesheim am Rhein,2011,CDU,HE,35,8.0,0.22857142857142856
368,Biebesheim am Rhein,2011,FDP,HE,17,8.0,0.47058823529411764
369,Biebesheim am Rhein,2011,GRÜNE,HE,14,7.0,0.5
370,Biebesheim am Rhein,2011,SPD,HE,28,7.0,0.25
371,Biebesheim am Rhein,2016,CDU,HE,29,14.0,0.4827586206896552
372,Biebesheim am Rhein,2016,SPD,HE,32,12.0,0.375
373,Biebesheim am Rhein,2021,CDU,HE,31,14.0,0.45161290322580644
374,Biebesheim am Rhein,2021,SPD,HE,35,18.0,0.5142857142857142
375,Biedenkopf,2011,CDU,HE,41,9.0,0.21951219512195122
376,Biedenkopf,2011,FDP,HE,14,3.0,0.21428571428571427
377,Biedenkopf,2011,SPD,HE,39,10.0,0.2564102564102564
378,Biedenkopf,2016,CDU,HE,42,11.0,0.2619047619047619
379,Biedenkopf,2016,GRÜNE,HE,16,5.0,0.3125
380,Biedenkopf,2016,SPD,HE,40,8.0,0.2
381,Biedenkopf,2021,CDU,HE,23,5.0,0.21739130434782608
382,Biedenkopf,2021,SPD,HE,20,6.0,0.3
383,Birkenau,2011,CDU,HE,26,5.0,0.19230769230769232
384,Birkenau,2011,GRÜNE,HE,14,4.0,0.2857142857142857
385,Birkenau,2011,SPD,HE,23,4.0,0.17391304347826086
386,Birkenau,2016,CDU,HE,29,7.0,0.2413793103448276
387,Birkenau,2016,FDP,HE,20,6.0,0.3
388,Birkenau,2016,GRÜNE,HE,16,5.0,0.3125
389,Birkenau,2016,SPD,HE,27,4.0,0.14814814814814814
390,Birkenau,2021,CDU,HE,31,11.0,0.3548387096774194
391,Birkenau,2021,FDP,HE,16,5.0,0.3125
392,Birkenau,2021,GRÜNE,HE,23,9.0,0.391304347826087
393,Birkenau,2021,SPD,HE,29,10.0,0.3448275862068966
394,Birstein,2011,SPD,HE,17,5.0,0.29411764705882354
395,Birstein,2016,CDU,HE,28,9.0,0.32142857142857145
396,Birstein,2016,FDP,HE,1,,
397,Birstein,2016,FDP,HE,1,,
398,Birstein,2016,GRÜNE,HE,7,3.0,0.42857142857142855
399,Birstein,2016,SPD,HE,26,10.0,0.38461538461538464
400,Birstein,2021,CDU,HE,24,7.0,0.2916666666666667
401,Birstein,2021,SPD,HE,24,6.0,0.25
402,Bischoffen,2011,CDU,HE,27,5.0,0.18518518518518517
403,Bischoffen,2011,FDP,HE,10,2.0,0.2
404,Bischoffen,2011,GRÜNE,HE,10,2.0,0.2
