Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
14;30.03.2021;Lindenau;"Durch UT wurde an das Geländer der Brücke an der A13, Anschlussstelle Ortrand eine BRD-Fahne (schwarz-rot-gold mit Bundesadler) befestigt. Die Fahne selbst wurde mit grüner Farbe mit dem Spruch ""MERKEL HAU AB"" besprüht.";0;Nicht zuzuordnen;§90 A StGB;Verunglimpfung des Staates und seiner Symbole;CDU
15;11.02.2021;Senftenberg;"Die BS beleidigte den GS (Stadtverordneter der Partei SPD) in einer Telegram Gruppe mit dem Wort ""Fettsack"". Hintergrund sind die Auseinandersetzungen von Pro- und Contra-Gruppierungen im Internet wegen der Corona Maßnahmen der Regierung. cov#19.";1;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
16;20.02.2021;Cottbus;"Der BS führte bei einer Demo ""Bürger für Bürgerrechte"" (Anti-Corona Maßnahmen-Demo) eine rot-schwarz-rote Fahne mit der weißen Aufschrift ""FCK MRKL"" für Jedermann sichtbar bei sich. cov#19.";1;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;CDU
17;28.01.2021;Erkner;"Die UT besprühten ein Hochbeet auf einem Vorplatz mit dem Schriftzug ""(Name des GS)...sie Hurensohn"". Bei dem GS handelt es sich um den Bürgermeister der Stadt Erkner. Bezüglich der Sachbeschädigung wurde eine gesonderte Strafanzeige gefertigt - ST/0027897/2021.";0;Nicht zuzuordnen;§186 StGB;Üble Nachrede;CDU
18;13.01.2021;Prenzlau;"Der BS beleidigte und verleumdete in einem Brief an die Landrätin Uckermark den GS (MdL der Partei AfD) als ""Neonazi"". Der GS fühlt sich durch diese Äußerung beleidigt und verleumdet.";1;Links;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;AfD
19;26.01.2021;Cottbus;"Die BS beleidigt den GS (Stadtverordneter der Partei AfD Cottbus) auf Instagram mit den Worten: ""Du bist ein Nazi, ein Rassist in einer Nazipartei"".";1;Links;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;AfD
20;25.02.2021;Senftenberg;"Der GS (Mitglied der Partei SPD) erhielt an seine private Adresse einen weißen Umschlag. In diesem befand sich eine Patrone 7,62. Im Inneren des Umschlages wurde in blauer Farbe zwei Mal das Wort ""ALERTA"" geschrieben.";0;Nicht zuzuordnen;§241 StGB;Bedrohung;SPD
21;28.02.2021;Schwielochsee;"Auf einer, direkt am stark frequentierten Wanderweg, aufgestellten Schautafel, wurden durch UT mit vermutlich schwarzen wasserfesten Edding, der Schriftzug ""Tötet Merkel"" aufgetragen. Auf einer vor dem Eingang zur Leichhardthütte aufgestellten Abfalltonne (Metall), wurde der gleiche schwarze Schriftzug festgestellt.";0;Nicht zuzuordnen;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
22;19.02.2021;Falkensee;"Der BS verschickte eine E-Mail an das Büro der Staatskanzlei. Darin beleidigt er den GS (Ministerpräsident Brandenburg) mit den Worten ""Impfflicht für Lehrer und Erzieher? Wie wäre es mit der Pflicht dir in den Hals zu scheißen ... (Name des GS), du Ratte"". cov#19.";1;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
23;11.03.2021;Königs Wusterhausen;Der BS (AfD) hat vor dem Ausschuss zur Abwahl des BM (parteilos, AfD nahestehend), welcher öffentlich tagte, angefragt, ob der Ehemann der GS, welcher an diesem Tag Schriftführer des Wahlausschusses gewesen ist, nicht aufgrund einer laufenden Strafanzeige gegen die GS (SPD) befangen wäre. Gegen die GS ist kein Strafverfahren anhängig. Zu diesem Zeitpunkt seien nicht nur die Mitglieder des Ausschusses, sondern eine Vielzahl von Bürgerinnen u. Bürgern sowie Pressevertreterinnen- und Vertreter vor Ort gewesen und hätten die falsche Anschuldigung somit wahrgenommen.;1;Rechts;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;SPD
24;18.01.2021;Berlin;"Unbekannte Tatverdächtige brachten an die Hausfassade des Gymnasiums sowie im Nahbereich den Schriftzug RR9N sowie beleidigende Schriftzüge zum Nachteil der Bundeskanzlerin, dem Gesundheitsminister und dem bayr. Ministerpräsidenten an. An den Fassaden wurde lediglich ""V (im Kreis)"" angebracht. Löschung/Ergänzung AZ 10.02.21";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD, CDU
25;16.01.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""fukcberlin@cduspd.de"" beleidigte den Virologen und den geschädigten Politiker der Partei ""SPD"" mit folgenden Worten: ""Betreff: Fuck berlin » Ihre SPD-GesundheitsRatte , die sich (Name des GS) nennt, und überall in den NAZI-SPD-ARD-Medien auftreten darf ,...gehört sofort erschossen » Danach Ihre unfähige Schauspieler. (Name des GS)-Ratte von der Berliner- Charitee , die auch nur Dreck in seinen Twittern postet..... gehört auch erschossen.....und danach SIE im Kanzleramt ARd ZDF = sofort abknallen II! » und dann Ihre ARd ZDF LKA BKA RATTEN Cyber, die solchen Mails noch verfolgen ... Sofort abknallen !!!!!!!! deutsches Dreckspack II! (sic) cov#19 Ergänzung AZ 16.02.21";0;Nicht zuzuordnen;§126 StGB;Störung des öffentlichen Friedens;SPD
26;02.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""Juliakloeckner@bundestag.de"" nötigte die geschädigte Politikerin der Partei ""CDU"" mit folgenden Worten: ""Betreff: Coronaregime ohne Ende Du dreckig-stinkende versiffte SED-Fotze Ferkel glaubst doch nicht ernsthaft, dass du gnädigerweise Grundrechte zurückgeben kannst? Grundrechte SIND immer gegeben, nicht verhandelbar und auch nicht aussetzbar! Du und dein intellektuell ausgetrockneter Haufen dilletantischer, inkompetenter Politnullen seid Verfassungsfeinde, Volksverräter und Volkszertreter, geistige Brandstifter, Hetzer, Lügner, Hasser, Antidemokraten und skrupellose Mörder! Ihr Deutschlandverpester, Körperverletzer und miese Massenmörderbrut werdet ALLE noch zur Verantwortung gezogen werden! VERSPROCHEN! Es wird schon in den nächsten Tagen beginnen!"" Zusammenhang Corona cov#19";0;Nicht zuzuordnen;§240 StGB;Nötigung;CDU
27;23.01.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse "" diesebundesregierungmussweg@deutschland.de"" schrieb folgende Nachricht an die Bundesregierung:""(...) Danach Berlin fahren und diesen Staat und die Gesellschaft von dieser Geistesgestörten und korrupten Bundesregierung befreien, alle Mittel sind erlaubt, um die Gesellschaft, die Verfassung, die Demokratie und den Rechtsstaat zu schützen welchen diese Bundesregierung seit über 8 Jahren nicht mehr representiert, (...)Für diesen selbstlosen Einsatz hat der Bundespräsident an Alle diese Bürger das Bundesverdienstkreuz zu überreichen. Ein nicht im Hirn durch Corona infizierter Bürger hat gesprochen und zeigt dem Staat die Grenzen auf""(sic) Ergänzung AZ 18.02.21";0;Nicht zuzuordnen;§240 StGB;Nötigung;CDU
28;09.01.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""josephstern@protonmail.com"" beleidigte den geschädigte Politiker der Partei ""SPD"" mit folgender Nachricht: ""Corona ist eine schwere Grippe, sie ist aber nicht die Pest mit Todesraten von über 50%. Die meisten Toten in Corona sind über achtzig. (,„) Du benimmst dich wie der schlimmste Nazi. Denn du und deine Mitarbeiter seid selber Nazis. Wie widerlich. Wenn es einen Zeitpunkt gegeben hat, gegen die Nazibedrohung vorzugehen, dann jetzt, nämlich gegen dich und die anderen Nazis in der Politik. (...) Zusammenhang Corona cov#19";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
29;21.01.2021;Berlin;"Auf der Internetseite Indymedia (https://de.indymedia.org/node/135056) findet sich ein umfangreicher Artikel über den Geschädigten. In dem Artikel wird der Geschädigte u.a. wie folgt beleidigt: ""Wer sich Nazi-Freunden andient und Neofaschisten eine Bühne bietet, hat nichts in der Berliner Bezirkspolitik zu suchen und muss überall mit antifaschistischem Gegenwind rechnen. Zur Inspiration hat er netterweise alle seine persönlichen Daten ins Internet gestellt.""";0;Links;§187 StGB;Verleumdung;Sonstige Partei
30;18.01.2021;Berlin;"Durch unbekannte Täter wurden im Bereich Kreuzberg mehrere Plakate beklebt, welche dem Geschädigten einen ""Kreuzbergverbot"" aussprechen. Der Text endet mit den Worten: ""Rassistischer Gewalt entschlossen entgegentreten - in Kreuzberg und überall. Antifaschistische Aktion"". Vor aus gegangen war eine Anzeige in welcher der Geschädigte am 17.01.2021 eine Person mit asiatischen Phänotypus aggressiv beleidigte und ungezielt eine Flasche in ihre Richtung warf.";0;Links;§186 StGB;Üble Nachrede;CDU
31;09.02.2021;Berlin;"Unbekannte Täter beklebten die Schaufensterscheiben vom Park Center und dem Cine Star Kino mit Plakaten: ""Ich will ein Ende der Pandemie. Deshalb fahre ich die Wirtschaft runter. #FürUnsStattFürProfite"" (dazwischen ist das Konterfei der Bundeskanzlerin abgebildet). Aufgrund des verwendeten Klebers konnten die Plakate nicht rückstandsfrei entfernt werden. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
32;13.02.2021;Berlin;"Im Verlauf der Versammlung mit dem Thema: ""Für die sofortige Beendigung des Lockdowns"" wurde der Beschuldigte beobachtet, wie er mittels einem Permanentmarker die Worte ""(Name der Bundeskanzlerin) weG 1"" schrieb. cov#19";1;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
33;31.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Twitter-Namen ""@ceklinger"" beleidigte die geschädigte Politikerin der Partei ""Bündnis 90/Die Grünen"" mit folgendem Tweet: ""ich denke wir müssen erstmal einen Anal-Abstrich bei Ihnen vornehmen, werte Frau (Name der GS). Wir haben ja doch immerhin das Recht, als Souverän, zu wissen ob bei Ihnen noch alles in Ordnung ist. Und dann halbieren wir Ihre Diäten. Sie sind eindeutig überbezahlt.""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
34;09.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""cdusdpd@schwein.de"" schrieb an die geschädigte Bundeskanzlerin der Partei ""CDU"" nachfolgende beleidigende Nachricht: ""Betreff: Kanzleramt ostdeutsche Anzeige- Flure II1111 Wir werden das BKA und Ihre ARD-ZDF-Medien Wir werden das BKA und Ihre ARD-ZDFMedien gegen SIE wichsen . Kanzleramt ostdeutsche Anzeige Ihre namen werden vernichtet"" (sic)";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
35;09.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Ad resse "" ferkelsau@berlin.de"" schrieb an die geschädigte Politikerin der Partei ""CDU"" nachfolgende beleidigende Nachricht: ""Betreff: CDU SPD 200.000 Euro Abkassierschwein wirst vernichtet werden, CDU SPD 200.000 Euro Abkassierschwein wirst vernichtet werden gegen Ihr Kanzleramt und Media ARD ZDF läuft Strafanzeige !!!!!!! Volksvernivhter Corona Flure III! Abakssierschweine + Mörder der Deutschen I!"" (sic)";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
36;18.01.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Ad resse ""ich.fickdich@gmail.com "" schrieb an den geschädigten Politiker der Partei ""CSU"" nachfolgende bedrohende Nachricht: ""Betreff: Corona Maßnahmen, An die regierenden Arschlöcher, wenn die Maßnahmen vom Wixer (Name des GS) bundesweit kommen, gehen wir mit allem was wir haben auf die Straße. Es wird u.a. in Berlin Blut fließen auch eures. Es reicht ihr verfickten Arschlöcher"" (sic) cov#19";0;Nicht zuzuordnen;§241 StGB;Bedrohung;CSU
37;11.02.2021;Berlin;"Der unbekannte Tatverdächtige verbreite einen antisemitischen Flyer in der S-Bahn /Ringbahn mit folgendem Inhalt: Linke Flyerseite: ""Haben wir denn wirklich nur ein Corona-Problem? (im Hintergrund eine vergrößerte Abbildung eines Corona-Virus) Oder haben wir nicht vor allem ein Juden-Problem? (im Hintergrund eine vergrößerte Abbildung eines Davidsterns)"" und Rechte Flyerseite: ""(Name der Bundeskanzlerin) (CDU):polnischstämmige Jüdin, verhandelt mit B'nai B'ritho (Name des Gesundheitsministers) (CDU): schwuler Jude, war u.a. zum Thema 'Krieg um Information' bei Bilderberg-Konferenzo (Name des Außenministers) (SPD): Jude, verlogener Oberzensor mit NetzDG u. Stasi-Jüdin (Name der Journalistin), o (Name des Virulogen) : Regierungsgefälliger Virologe und Sprachrohr. Dem Phänotyp nach ebenfalls Jude. Wisse: Je mehr Juden in Politik und Medien, desto übler die Zustände!"" (sic) Ergänzung TF und AZ 23.02.21";0;Rechts;§130 StGB;Volksverhetzung;SPD, CDU
38;31.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Twitter-Namen ""@Berger68136736"" setzte gegen die geschädigte Politikerin der Partei ""Bündnis 90/Die Grünen"" nachfolgenden Tweet ab: ""Wer Drogen liebt und Deutsche hasst, wer Kindern in den Schritt gern fasst, wer gar nichts kann und auch nichts weiß, der glaubt den ganzen grünen Scheiß!""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
39;11.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Ad resse ""direkt@bayern.de"" beleidigte die geschädigte Politikerin der Partei ""CDU"" mit folgender Nachricht: (Name der Bundeskanzlerin) Du dreckige Pfaffen-Brut, Du elendes Stasi-Gewächs! Noch mehr Lockdown, klar immer doch. Mit 50 Verlängerungen bis in 2030??? Was Du Dreckstück noch nicht kaputt gemacht hast, geht jetzt kaputt...Leute sind arbeitslos, Kriminalität steigt...und Du dreckige vergammelte Fotze baust wie immer nur SCHEISSE! Wie mit der Energiewende und dem Asylsturm...Dich sollte man aufhängen! #sturmaufskanzleramt #merkelsferienhausabbrennen #politikerangreifen #polizeientwaffnen #aufstand Revolution"" (sic) Zusammenhang Corona. cov#19";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
40;25.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook-Namen ""Reuven Shiloah"" schrieb drei Facebook-Direktnachrichten an den geschädigten Politiker der Partei ""CSU"" mit folgendem Inhalt: ""Du antidemokratischer Nazi solltest sofort zurücktreten. (...) Was eine Scheiße du dreckiger Nazi so postest, unglaublich. Selbst für die CSUBastarde bist du ein wirklich bescheuertes Exemplar. Antidemokratisches Arschloch"", ""Ein wirklich dummes Nazi-Arschloch bist du. Verpiss' dich aus der Politik du Nazi-Sau. Keine Angst, deine dreckigen Nazi-Bullen können absolut nichts gegen mich machen (...)"" und ""Du dummes Nazi-Arschloch lädst mich noch ein, deine dreckige antidemokratische Seite zu liken (...).""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CSU
41;27.01.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Ad resse ""tonidieter.td@gmail.com"" schrieb an den geschädigten Politiker der Partei ""AfD"" folgende Nachricht: ""Du widerliches nach brauner Scheiße stinkendes Charakterschwein und rassistisches Dreckschwein. Halt' einfach dein Nazi-Schandmaul und setz' dich mit deinem dicken Arsch vernünftig hin. Hoffentlich scheißt dir das Virus so richtig in dein dementes und nach Verwesung stinkendes Hirn. Man sollte euch Gesindel in das tiefste Loch von Alcatraz schmeißen und den Drecksack (Name des ehem. amerk Präsidenten) oben drauf und euch vermodern lassen."" Änderung TF It. FZA 09.04.21";0;Nicht zuzuordnen;§185 StGB;Beleidigung;AfD
42;16.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""s.collot@web.de"" schrieb an die geschädigte Politikerin der Partei ""CDU"" folgende Nachricht: ""Adolfina gehört sofort in die nächste Müllverbrennungsanlage. Volksverräter*innen und Kinderschänder*innen Die ganze Welt hasst dich. Gut das sowas niemals Eier gelegt hat. Selbst Adolf H. wurde nie so gehasst. Häng dich endlich auf!!!""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
43;10.02.2021;Berlin;"Der unbekannte Tatverdächtige ritzte an der Fahrstuhlwand folgende Wörter an: ""SS"" (keine Runen) ""KZ HAUS"", ""(Name der Bundeskanzlerin) DU EHRENLOSE"" (Alles wieder durchgestrichen) und ""POLIZEI MOPD"". Änderung TM 24.02.21";0;Rechts;§303 StGB;Sachbeschädigung;CDU
44;06.02.2021;Berlin;"Der Tatverdächtige postete auf Twitter den Tweet ' Jungliberale erschießen wann?"". ";1;Links;§111 StGB ;"Öffentliche Aufforderung zu
Straftaten";FDP
45;21.02.2021;Berlin;"Der Sicherheitsbeauftragter der Berliner AfD zeigte an, dass im Vorfeld des geplanten AfD-Parteitages auf der linksextremistischen Internetseite ""indymedia"" ein umfangreicher Text mit dem Titel ""Schluss mit Ponyhof! Den AfD-Landes Parteitag in Schönwalde-Glien zu Brei stampfen!"" veröffentlicht worden ist, der verschiedene beleidigende Äußerungen enthält. Die Verfasser ""Kein Raum der AfD!"" schrieben u.a.: ""der ekelhaften blaubraunen Nazibande"", ""die rechtsradikale Terrortruppe"", ""Wir haben als umweltbewusste Antifaschist*innen eine gewisse Verantwortung gegenüber den Menschen und Tieren, die dort leben und müssen unsere Berliner AfD folglich fachgerecht entsorgen und vorher nach Materialien sortieren.""";0;Links;§185 StGB;Beleidigung;AfD
46;05.02.2021;Berlin;"Im Zuge von Gesprächen auf der Internetplattform ""Clubhouse"" bezüglich eines veröffentlichten Artikels des Tagesspiegels verharmloste der Tatverdächtige mit dem Instagram-Namen ""firas_i_r"" den Holocausts. Die Äußerung habe sich darauf bezogen, dass in einem Haus in Neukölln, dass bis zur Enteignung der Familie Rammo gehörte, ein Jugendzentrum eingerichtet werden soll. Daher sollten die bisherigen Bewohner aus der Immobilie ausziehen. Dieses Verfahren ist durch den Tatverdächtigen mit der Judenverfolgung im Holocaust gleichgesetzt worden. Des Weiteren beleidigte der Tatverdächtige den geschädigten Politiker der Partei ""CDU"". Ergänzung TF 10.03.21";1;Nicht zuzuordnen;§130 StGB;Volksverhetzung;CDU
47;19.02.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Twitter-Namen ""Christian Schmidt (@maclord2605)"" setzte unter einem Tweet des geschädigten Politikers der Partei ""AfD"" folgenden Kommentar ab: ""Was machst Du dreckiges Nazi-Arschloch dann?? Die Kohle für Dich sollten wir in die Spree kippen, Du destruktiver Rechtsterorist...Fick Dich...""";0;Links;§185 StGB;Beleidigung;AfD
48;19.02.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""nurdervflramsdorf@gmail.com"" beleidigte den geschädigten Politiker der Partei ""AfD"" mit folgender Nachricht: ""Hallo sie Nazi Schwein.""";0;Links;§185 StGB;Beleidigung;AfD
49;26.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Instagram Namen ""dennis_el45"" beleidigte per direkter Nachricht den geschädigten Politiker der Partei ""AfD"" mit folgenden Worten: ""Jetzt muss man sich noch von so einem übergewichtigen fetten schmierigen Nazi mit ganz kleinen Eiern beleidigen lassen"", ""Du witzfigur solltest nicht Schalke versuchen in den Dreck zu ziehen nur um Aufmerksamkeit für deine Weichei Partei zu bekommen euch nimmt doch sowieso niemand ernst"", ""Du Hund im Anzug"".";0;Links;§185 StGB;Beleidigung;AfD
50;26.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Instagram Namen ""Marius_98_"" beleidigte per direkter Nachricht den geschädigten Politiker der Partei ""AfD"" mit folgenden Worten: ""Cooler twitter Post"", ""Pass auf dich auf"".";0;Links;§185 StGB;Beleidigung;AfD
51;26.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Instagram Namen ""Iuis21299"" beleidigte per direkter Nachricht den geschädigten Politiker der Partei ""AfD"" mit folgenden Worten: ""An deiner Stelle würde ich mir selber das Leben nehmen du gottloser Hurensohn"" und ""Trau dich mal auf die Straße Wir setzen Zeichen"".";0;Links;§185 StGB;Beleidigung;AfD
52;18.02.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Twitter-Namen ""Pepu2020"" setzte unter einem Tweet des geschädigten Politikers der Partei ""AfD"" folgenden Kommentar ab: ""(Name des GS), du dummes Naziarschloch, hast du echt nichts besseres zu tun?"".";0;Links;§185 StGB;Beleidigung;AfD
53;26.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Instagram Namen claudiodgOO beleidigte per direkter Nachricht den geschädigten Politiker der Partei ""AfD"" mit folgenden Worten: """"Glaube man muss bei dir auch mal ein Zeichen setzen"", ""Komm innen Pott, da kannste das ja nochmal sagen"", ""Nichts da per Mail"", ""Du Fritte"".";0;Links;§185 StGB;Beleidigung;AfD
54;08.03.2021;Berlin;"Unbekannte Täter brachten an einer Wand folgenden Schriftzug in schwarzer Farbe an: """"MERKILL IN DEN KNAST!"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
55;14.01.2021;Berlin;"UT mit der E-Mail-Adresse ""feridbajrektarevicl977@gmail.com"" schrieb folgende Nachricht an die geschädigte Poltikerin der Partei ""SPD"": Diese hat den Betreff: ""Ekelhaft. Gehe und las dich impfen dan ist schluss mit deine hetze gegen impfverweigerer du kannst nichts ausreichten grundrechte sind für alle da nur nicht für die totgeweiten geimpften"". Der Nachrichteninhalt beinhaltet: ""Ich bin seit 9 Monaten in Deutschland und ich glaube ich kann gut schreiben bis jetzt du ekelhafte dein Problem wir nicht die Rechtschreibung sein du möchtegern Justizministerin dein Tag wird kommen wenn ich dich ansehe und dein dummes Gelaber hör könnt ich nur kotzen"". #covl9";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
56;07.02.2021;Berlin;"Der Tatverdächtige mit der E-Mail-Adresse ""ansgarl@tonline.de"" beleidigte die geschädigte Politikerin der Partei ""Die Linke"" mit folgender Nachricht: ""Hallo (Name der GS), ist es nicht schön für sie, durch unser Geld aus dem Westen ein schönes Leben führen zu können? Nicht mehr nur Goldbroiler und Letscho fressen zu müssen, sondern dank meinem Geld ein schönes Leben führen zu können, Stasi-Kati? Schicke Kostümchen tragen sie ja immer, bezahlt von mir oder ihren Stasi-Offizieren? Natürlich von uns aus dem Westen. Also dankbar sein, Stasi-Kati. Bäh, sie sind so etwas von ekelhaft, sie kleine Stasi-Schergin. Hoffentlich werdet ihr SED-Gesindel demnächst zur Rechenschaft gezogen. Fahr zur Hölle, sie Mauermörderin.""";1;Nicht zuzuordnen;§240 StGB;Nötigung;Die Linke
